Country Name,Population total,GDP (current US$),GDP per capita (current US$)
Afghanistan,32526562,19331286549,594.3230812
Albania,2889167,11400000000000,3945.217582
Algeria,39666519,165000000000000,4154.119692
American Samoa,55538,641000000,11541.64716
Andorra,70473,0,0
Angola,25021974,103000000000000,4101.472152
Antigua and Barbuda,91818,1259259259,13714.73196
Argentina,43416755,585000000000000,13467.41564
Armenia,3017712,10529182498,3489.12769
Aruba,103889,0,0
Australia,23789752,1340000000000,56290.64681
Austria,8638366,377000000000000,43636.7537
Azerbaijan,9649341,53047140347,5497.488414
"Bahamas, The",388019,8853519100,22817.23086
Bahrain,1377237,31125851064,22600.2141
Bangladesh,160995642,195000000000000,1211.701531
Barbados,284215,4385250000,15429.34046
Belarus,9489616,54608962635,5754.601939
Belgium,11249420,455000000000000,40454.16997
Belize,359287,1752861128,4878.721267
Benin,10879829,8290986804,762.0512054
Bermuda,65235,0,0
Bhutan,774830,2057947621,2655.998892
Bolivia,10724705,32997684515,3076.791811
Bosnia and Herzegovina,3810416,16191716215,4249.330313
Botswana,2262485,14389717321,6360.13822
Brazil,207847528,1800000000000,8677.768107
British Virgin Islands,30117,0,0
Brunei Darussalam,423188,12930394938,30554.72967
Bulgaria,7177991,50199117547,6993.47736
Burkina Faso,18105570,10678201939,589.7744141
Burundi,11178921,3097324740,277.0683092
Cabo Verde,520502,1603239233,3080.178814
Cambodia,15577899,18049954289,1158.689904
Cameroon,23344179,28415950981,1217.26067
Canada,35848610,1550000000000,43315.70044
Cayman Islands,59967,0,0
Central African Republic,4900274,1583776760,323.201674
Chad,14037472,10888798114,775.6950905
Chile,17948141,241000000000,13416.23004
China,1371220000,11100000000000,8069.211938
Colombia,48228704,292000000000,6056.147717
Comoros,788474,565689764.5,717.44885
"Congo, Dem. Rep.",77266814,35237742278,456.0527405
"Congo, Rep.",4620330,8553154506,1851.199916
Costa Rica,4807850,54100000000000,11260.09216
Cote d'Ivoire,22701556,31759248868,1398.989958
Croatia,4203604,48732003674,11592.9102
Cuba,11389562,87132800000,7650.232731
Curacao,157979,0,0
Cyprus,1165300,19559942331,23075.1127
Czech Republic,10546059,185000000000000,17556.9243
Denmark,5683483,301000000000000,53014.64416
Djibouti,887861,1727000000,1945.124293
Dominica,72680,517218963,7116.386392
Dominican Republic,10528391,68102618092,6468.473492
Ecuador,16144363,100000000000,6205.064145
"Egypt, Arab Rep.",91508084,331000000000000,3614.746766
El Salvador,6126583,25850200000,4219.35033
Equatorial Guinea,845060,12202323684,14439.59445
Eritrea,0,0,0
Estonia,1314608,22459443274,17084.51742
Ethiopia,99390750,61539711687,619.1694065
Euro area,339373830,11600000000000,34168.88609
Faroe Islands,48199,0,0
Fiji,892145,4425503075,4960.519954
Finland,5479531,232000000000000,42403.46748
France,66538391,2420000000000,36352.48007
French Polynesia,282764,0,0
Gabon,1725292,14262032471,8266.445605
"Gambia, The",1990924,938794719.4,471.5371955
Georgia,3717100,13965385802,3757.064863
Germany,81679769,3360000000000,41178.4566
Ghana,27409893,37543361204,1369.701122
Gibraltar,32217,0,0
Greece,10820883,195000000000000,18006.97033
Greenland,56114,0,0
Grenada,106825,984074074.1,9212.020352
Guam,169885,5734000000,33752.24417
Guatemala,16342897,63794152886,3903.478856
Guinea,12608590,6699203543,531.3205952
Guinea-Bissau,1844325,1056776883,572.9884285
Guyana,767085,3166029056,4127.351018
Haiti,10711067,8765329890,818.3432976
Honduras,8075060,20420967149,2528.89355
"Hong Kong SAR, China",7305700,309000000000000,42327.83996
Hungary,9843028,122000000000000,12365.62603
Iceland,330815,16779598787,50722.00108
India,1311050527,2090000000000,1593.257703
Indonesia,257563815,862000000000000,3346.487039
"Iran, Islamic Rep.",79109272,0,0
Iraq,36423395,180000000000000,4943.760388
Ireland,4643740,284000000000,61093.69108
Isle of Man,87780,0,0
Israel,8380100,299000000000000,35729.37253
Italy,60730582,1820000000000,29993.07605
Jamaica,2793335,14262190323,5105.793012
Japan,126958472,4380000000000,34523.70077
Jordan,7594547,37517410282,4940.045836
Kazakhstan,17544126,184000000000000,10509.98107
Kenya,46050302,63400000000000,1376.712829
Kiribati,112423,160121929.2,1424.280879
"Korea, Dem. Peopleâ€™s Rep.",25155317,0,0
"Korea, Rep.",50617045,1380000000000,27221.52405
Kosovo,1801800,6400687590,3552.385165
Kuwait,3892115,114000000000000,29300.57558
Kyrgyz Republic,5956900,6571853849,1103.233871
Lao PDR,6802023,12369080043,1818.441373
Latvia,1977527,27002832428,13654.84892
Lebanon,5850743,47084703151,8047.645086
Lesotho,2135022,2278037786,1066.985626
Liberia,4503438,2053000000,455.8739345
Libya,6278438,0,0
Liechtenstein,37531,0,0
Lithuania,2904910,41400137851,14251.77987
Luxembourg,569604,56799626262,99717.74472
"Macao SAR, China",587606,46200000000000,78585.87706
"Macedonia, FYR",2078453,10086021261,4852.657848
Madagascar,24235390,9738652322,401.836006
Malawi,17215232,6403820949,371.9857478
Malaysia,30331007,296000000000000,9768.32686
Maldives,409163,3435244659,8395.785198
Mali,17599694,12746688962,724.2562832
Malta,431874,9746478873,22567.87599
Marshall Islands,52993,179432573.8,3385.967463
Mauritania,4067564,0,0
Mauritius,1262605,11681761261,9252.110724
Mexico,127017224,1140000000000,9005.024265
"Micronesia, Fed. Sts.",104460,314971100,3015.231668
Moldova,3554108,6568288862,1848.083643
Monaco,37731,0,0
Mongolia,2959134,11741338841,3967.829386
Montenegro,622159,3987061628,6408.428758
Morocco,34377511,101000000000000,2878.201342
Mozambique,27977863,14807075727,529.2425561
Myanmar,53897154,62600906116,1161.488158
Namibia,2458830,11491507356,4673.567248
Nauru,12475,100459772.8,8052.887602
Nepal,28513700,21194888048,743.3229657
Netherlands,16939923,750000000000,44290.86886
New Caledonia,273000,0,0
New Zealand,4595700,174000000000000,37807.96728
Nicaragua,6082032,12692562187,2086.895003
Niger,19899120,7142951342,358.958152
Nigeria,182201962,487000000000,2671.721164
Northern Mariana Islands,55070,922000000,16742.32795
Norway,5190239,387000000000000,74481.81938
Oman,4490541,69830949285,15550.67625
Pakistan,188924874,271000000000000,1434.696665
Palau,21291,287400000,13498.66141
Panama,3929141,52132289747,13268.11375
Papua New Guinea,7619321,0,0
Paraguay,6639123,27093938619,4080.951448
Peru,31376670,189000000000000,6027.125855
Philippines,100699395,292000000000000,2904.202082
Poland,37986412,477000000000000,12558.87117
Portugal,10358076,199000000000000,19222.935
Puerto Rico,3474182,0,0
Qatar,2235355,165000000000000,73653.39443
Romania,19815308,178000000000000,8980.65727
Russian Federation,144096870,1370000000000,9329.298351
Rwanda,11609666,8095980014,697.3482281
Samoa,193228,761037916.4,3938.548846
San Marino,31781,0,0
Sao Tome and Principe,190344,317696178.7,1669.063268
Saudi Arabia,31540372,646000000000000,20481.74532
Senegal,15129273,13609989582,899.5798795
Serbia,7095383,37160332465,5237.255334
Seychelles,93419,1437722206,15390.04064
Sierra Leone,6453184,4214779785,653.1318159
Singapore,5535002,293000000000000,52888.74467
Sint Maarten (Dutch part),38824,0,0
Slovak Republic,5423801,87263622047,16089.01618
Slovenia,2063531,42774769768,20728.92036
Solomon Islands,583591,1129164719,1934.856293
Somalia,10787104,5925000000,549.2669766
South Africa,55011976.68,315000000000000,5718.244732
South Asia,1744161298,2680000000000,1538.450283
South Sudan,12339812,9015221096,730.5801009
Spain,46443994,1190000000000,25684.72442
Sri Lanka,20966000,82300000000000,3926.174396
St. Kitts and Nevis,55572,876478555.6,15771.9455
St. Lucia,184999,1431135704,7735.910484
St. Martin (French part),31754,0,0
St. Vincent and the Grenadines,109462,737683555.6,6739.174833
Sudan,40234882,97156119150,2414.723601
Suriname,542975,5150291217,9485.319244
Swaziland,1286970,4118488059,3200.143018
Sweden,9799186,496000000000000,50585.25847
Switzerland,8281430,671000000000000,80999.28742
Syrian Arab Republic,18502413,0,0
Tajikistan,8481855,7853450374,925.9118877
Tanzania,53470420,45628247290,878.9751055
Thailand,67959359,395000000000,5814.769764
Timor-Leste,1184765,1441718600,1216.881491
Togo,7304578,4087903913,559.6358767
Tonga,106170,435142409,4098.543929
Trinidad and Tobago,1360088,23559287484,17321.88468
Tunisia,11253554,43015089723,3822.356006
Turkey,78665830,718000000000,9125.68759
Turkmenistan,5373502,35854571429,6672.477544
Turks and Caicos Islands,34339,0,0
Tuvalu,9916,32673277.74,3295.005823
Uganda,39032383,27529249701,705.2925695
Ukraine,45154029,90615023324,2114.954716
United Arab Emirates,9156963,370000000000000,40438.76293
United Kingdom,65128861,2860000000000,43929.69081
United States,321418820,18000000000000,56115.71843
Uruguay,3431555,53442697569,15573.90092
Uzbekistan,31298900,66732736498,2132.11124
Vanuatu,264652,742432131,2805.314644
"Venezuela, RB",31108083,0,0
Vietnam,91713300,194000000000000,2110.919344
Virgin Islands (U.S.),103574,3765000000,36350.82163
West Bank and Gaza,4422143,12677399995,2866.8001
World,7346705903,74300000000000,10112.32853
"Yemen, Rep.",26832215,37733919936,1406.291651
Zambia,16211767,21200000000000,1304.879014
Zimbabwe,15602751,14419185900,924.1438193
